doi,reason
10.1177/0306624x231176019,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1007/s10611-023-10100-2,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.socscimed.2023.115966,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1016/j.socnet.2023.04.005,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1007/s10519-023-10145-y,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1215/00703370-10747542,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1080/26904586.2023.2200773,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1038/oby.2009.97,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1007/s11113-023-09794-y,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/23294965231175822,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.jcrimjus.2023.102066,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.biopsycho.2023.108573,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1016/j.drugalcdep.2023.109942,"No PMC: EuropePMC: no PMCID | idconv error: HTTPSConnectionPool(host='www.ncbi.nlm.nih.gov', port=443): Max retries exceeded with url: /pmc/utils/idconv/v1.0/?ids=10.1016%2Fj.drugalcdep.2023.109942&format=json (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000023C206E5810>: Failed to resolve 'www.ncbi.nlm.nih.gov' ([Errno 11001] getaddrinfo failed)"")) | Springer err: Springer HTTP 429"
10.1002/dev.22403,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1111/j.1573-7861.2009.01118.x,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1111/soin.12555,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.jcrimjus.2023.102073,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.sleh.2023.06.001,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.addbeh.2023.107799,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.appdev.2023.101564,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.drugalcdep.2009.01.020,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.jadohealth.2023.05.018,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.3390/socsci12050266,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1002/eat.23972,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.healthplace.2023.103047,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1002/ajcp.12680,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1007/s12110-023-09451-5,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.jadohealth.2009.03.027,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1080/16066359.2023.2225853,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1080/01639625.2023.2230513,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1080/00324728.2023.2174268,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/0265407523118576,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.amepre.2023.06.014,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.socscimed.2023.116161,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1177/0093854809342839,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.annepidem.2023.08.002,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1177/00111287231189725,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/02654075231193451,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1007/s11606-023-08327-9,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1177/00111287231186087,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1001/jamadermatol.2023.2217,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1016/j.jadohealth.2008.10.138,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/07311214231193342,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1093/cs/cdad016,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1353/dem.2001.0026,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.econedurev.2008.05.001,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/23328584231190380,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.socnet.2023.08.002,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1007/s10943-023-01903-7,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.jbankfin.2023.106994,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.drugalcdep.2023.110949,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1016/j.jadohealth.2023.06.014,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1080/10538720902772139,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.socscimed.2023.116214,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1177/23780231221148154,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1080/15564886.2023.2255589,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.ssresearch.2009.01.006,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1111/jomf.12943,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1007/s11150-023-09680-8,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.jebo.2023.09.011,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.chiabu.2023.106451,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.15195/v10.a20,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1080/10550490902786959,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1080/07352166.2023.2250029,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1007/s10887-023-09235-7,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/00221465231195661,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1177/00938548231202801,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1016/j.ehb.2009.04.002,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.euroneuro.2023.08.262,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1093/sf/soad126,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1007/s10508-023-02709-0,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1080/26408066.2023.2265923,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.amepre.2023.10.015,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1080/02673037.2023.2266391,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.ssresearch.2008.09.002,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1080/15564886.2023.2263849,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/15598276231208032,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/10986111231193032,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1080/07360932.2023.2275119,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1007/s40865-023-00243-0,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1111/ssqu.13320,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.jeconom.2023.105551,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.econedurev.2023.102486,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.jadohealth.2009.06.024,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1016/j.paid.2023.112470,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.chiabu.2023.106543,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1007/s10865-023-00456-0,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.3982/QE1720,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/08862605231211923,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/21568693231198861,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1080/19359705.2023.2265314,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1007/s12552-023-09403-9,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1007/s10519-009-9266-z,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1016/j.ehb.2023.101316,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1111/bcp.15965,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/0743558408329952,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1080/1533256X.2023.2280959,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/23780231231204853,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/0306624x231212814,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1080/07418820802593352,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1111/jphd.12593,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.jebo.2023.11.025,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/21568693231213094,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.adaj.2023.10.011,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1007/s10519-023-10170-x,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1002/pits.1004,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.labeco.2009.01.001,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1037/ort0000713,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.ehb.2023.101347,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.poetic.2023.101860,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/15412040231222435,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1080/10911359.2023.2292233,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1007/s13178-023-00924-x,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1007/s12119-023-10190-z,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.30935/ojcmt/14026,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1353/jhr.2009.0026,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/21533687231223720,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.jebo.2023.12.022,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1136/jech.2008.078592,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1007/s10802-021-00774-4,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/0002716208331123,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1080/02791072.2023.2297193,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1016/j.whi.2009.05.003,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1037/a0014982,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.jadohealth.2009.03.011,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1016/j.jadohealth.2023.11.018,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1002/hec.4792,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.acap.2009.02.004,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/08901171241227298,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.psyneuen.2023.106084,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1016/j.whi.2009.05.001,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1177/23780231231186072,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/1541204008330409,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1007/s40258-024-00872-6,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.46469/mq.2023.64.2.8,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1007/s11292-023-09608-3,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1111/jora.12913,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1111/sltb.13048,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1016/j.jcrimjus.2024.102153,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/21568693231221513,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.psychres.2024.115770,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/S0049-089X(02)00010-8,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.alcohol.2009.02.001,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.socscimed.2024.116633,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1007/s12552-024-09411-3,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/00811750231220950,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1089/vio.2022.0065,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1007/s11113-024-09857-8,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1111/jomf.12973,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1080/15562948.2024.2315144,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1080/13229400.2024.2315416,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/003804070908200203,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.54289/JPPC2300101,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/00111287241231740,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.psyneuen.2023.106805,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/0891243209339913,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1007/s10900-024-01332-x,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1007/s40865-024-00250-9,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.dsx.2024.102966,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/019027250907200105,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1016/j.childyouth.2024.107517,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.socscimed.2024.116704,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1111/j.1745-9125.2009.00170.x,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.3998/ncidcurrents.1937,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1089/jwh.2023.0196,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1017/S0954579424000543,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/002214650905000302,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.jpsychires.2024.03.005,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1111/imig.13254,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.3102/10769986241233777,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.jadohealth.2024.02.013,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1111/j.1468-5906.2009.01451.x,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1093/geronb/gbae040,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1093/gerona/glae084,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1016/j.alcr.2024.100608,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1080/19485565.2024.2334687,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1111/j.1573-7861.2009.01124.x,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1136/jech-2023-220701,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/08862605211067062,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/00111287241245344,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.3138/cjccj-2023-0047,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.jadohealth.2009.07.005,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.3390/su151310460,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1046/j.1365-2214.2002.t01-5-00293.x,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1363/4120009,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.jeconom.2023.02.010,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1080/07418825.2023.2236674,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1002/smi.1277,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.jadohealth.2024.04.014,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1016/j.annepidem.2024.05.007,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1016/j.socscimed.2023.116434,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1037/adb0001015,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1177/0093854809342859,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1111/acer.15308,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1080/19485565.2024.2355891,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1016/j.regsciurbeco.2024.104025,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1215/00703370-11380743,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1093/aje/kwae095,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1093/geronb/gbae038,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1215/00703370-11380562,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1353/dem.0.0072,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1016/j.jad.2024.05.053,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.jad.2024.06.081,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1002/jcop.23130,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1093/gerona/glae127,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/00111287241261326,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1177/0739986309346023,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.amepre.2024.06.013,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1007/s12552-024-09418-w,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.2139/ssrn.3397735,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.ssmmh.2024.100329,PMC parse failed: PMC XML has no sections or usable text | Springer err: Springer HTTP 429
10.1016/j.ssresearch.2024.103049,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1016/j.ssaho.2024.100977,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1093/ntr/ntae146,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
10.1111/j.1475-682X.2009.00300.x,No PMC: EuropePMC: no PMCID | idconv: no PMCID | Springer err: Springer HTTP 429
