doi,journal,reason
10.1016/j.socscimed.2023.116161,Social Science and Medicine,abstract_only
10.1177/0093854809342839,Criminal Justice and Behavior,idconv: no PMCID
10.1016/j.annepidem.2023.08.002,Annals of Epidemiology,abstract_only
10.1177/00111287231189725,Crime and Delinquency,idconv: no PMCID
10.1177/02654075231193451,Journal of Social and Personal Relationships,idconv: no PMCID
10.1007/s11606-023-08327-9,Journal of General Internal Medicine,abstract_only
10.1177/00111287231186087,Crime and Delinquency,idconv: no PMCID
10.1001/jamadermatol.2023.2217,JAMA Dermatol,abstract_only
10.1016/j.jadohealth.2008.10.138,Journal of Adolescent Health,idconv: no PMCID
10.1177/07311214231193342,Sociological Perspectives,abstract_only
10.1093/cs/cdad016,Children and Schools,abstract_only
10.1353/dem.2001.0026,Demography,idconv: no PMCID
10.1016/j.econedurev.2008.05.001,Economics of Education Review,idconv: no PMCID
10.1177/23328584231190380,AERA Open,idconv: no PMCID
10.1016/j.socnet.2023.08.002,Social Networks,idconv: no PMCID
10.1007/s10943-023-01903-7,Journal of Religion and Health,idconv: no PMCID
10.1016/j.jbankfin.2023.106994,Journal of Banking and Finance,idconv: no PMCID
10.1016/j.drugalcdep.2023.110949,Drug and Alcohol Dependence,abstract_only
10.1016/j.jadohealth.2023.06.014,Journal of Adolescent Health,idconv: no PMCID
10.1080/10538720902772139,Journal of Gay and Lesbian Social Services,idconv: no PMCID
10.1016/j.socscimed.2023.116214,Social Science and Medicine,abstract_only
10.1177/23780231221148154,Socius,idconv: no PMCID
10.1080/15564886.2023.2255589,Victims and Offenders,idconv: no PMCID
10.1016/j.ssresearch.2009.01.006,Social Science Research,abstract_only
10.1111/jomf.12943,Journal of Marriage and Family,idconv: no PMCID
10.1007/s11150-023-09680-8,Review of Economics of the Household,idconv: no PMCID
10.1016/j.jebo.2023.09.011,Journal of Economic Behavior and Organization,idconv: no PMCID
10.1016/j.chiabu.2023.106451,Child Abuse and Neglect,idconv: no PMCID
10.15195/v10.a20,Sociological Science,idconv: no PMCID
10.1080/10550490902786959,American Journal on Addictions,idconv: no PMCID
10.1080/07352166.2023.2250029,Journal of Urban Affairs,idconv: no PMCID
10.1007/s10887-023-09235-7,Journal of Economic Growth,idconv: no PMCID
10.1177/00221465231195661,Journal of Health and Social Behavior,abstract_only
10.1177/00938548231202801,Criminal Justice and Behavior,abstract_only
10.1016/j.ehb.2009.04.002,Economics and Human Biology,idconv: no PMCID
10.1016/j.euroneuro.2023.08.262,European Neuropsychopharmacology,idconv: no PMCID
10.1093/sf/soad126,Social Forces,abstract_only
10.1007/s10508-023-02709-0,Archives of Sexual Behavior,idconv: no PMCID
10.1080/26408066.2023.2265923,Journal of Evidence-Based Social Work,idconv: no PMCID
10.1016/j.amepre.2023.10.015,American Journal of Preventive Medicine,idconv: no PMCID
10.1080/02673037.2023.2266391,Housing Studies,idconv: no PMCID
10.1016/j.ssresearch.2008.09.002,Social Science Research,abstract_only
10.1080/15564886.2023.2263849,Victims & Offenders,idconv: no PMCID
10.1177/15598276231208032,American Journal of Lifestyle Medicine,idconv: no PMCID
10.1177/10986111231193032,Police Quarterly,idconv: no PMCID
10.1080/07360932.2023.2275119,Forum for Social Economics,idconv: no PMCID
10.1007/s40865-023-00243-0,Journal of Developmental and Life-Course Criminology,idconv: no PMCID
10.1111/ssqu.13320,Social Science Quarterly,idconv: no PMCID
10.1016/j.jeconom.2023.105551,Journal of Econometrics,idconv: no PMCID
10.1016/j.econedurev.2023.102486,Economics of Education Review,idconv: no PMCID
10.1016/j.jadohealth.2009.06.024,Journal of Adolescent Health,abstract_only
10.1016/j.paid.2023.112470,Personality and Individual Differences,idconv: no PMCID
10.1016/j.chiabu.2023.106543,Child Abuse and Neglect,idconv: no PMCID
10.1007/s10865-023-00456-0,Journal of Behavioral Medicine,idconv: no PMCID
10.3982/QE1720,Quantitative Economics,idconv: no PMCID
10.1177/08862605231211923,Journal of Interpersonal Violence,idconv: no PMCID
10.1177/21568693231198861,Society and Mental Health,idconv: no PMCID
10.1080/19359705.2023.2265314,Journal of Gay and Lesbian Mental Health,idconv: no PMCID
10.1007/s12552-023-09403-9,Race and Social Problems,idconv: no PMCID
10.1007/s10519-009-9266-z,Behavior Genetics,abstract_only
10.1016/j.ehb.2023.101316,Economics and Human Biology,idconv: no PMCID
10.1111/bcp.15965,British Journal of Clinical Pharmacology,idconv: no PMCID
10.1177/0743558408329952,Journal of Adolescent Research,idconv: no PMCID
10.1080/1533256X.2023.2280959,Journal of Social Work Practice in the Addictions,idconv: no PMCID
10.1177/23780231231204853,Socius,idconv: no PMCID
10.1177/0306624x231212814,International Journal of Offender Therapy and Comparative Criminology,idconv: no PMCID
10.1080/07418820802593352,Justice Quarterly,idconv: no PMCID
10.1111/jphd.12593,Journal of Public Health Dentistry,idconv: no PMCID
10.1016/j.jebo.2023.11.025,Journal of Economic Behavior and Organization,idconv: no PMCID
10.1177/21568693231213094,Society and Mental Health,idconv: no PMCID
10.1016/j.adaj.2023.10.011,The Journal of the American Dental Association,idconv: no PMCID
10.1007/s10519-023-10170-x,Behavior Genetics,abstract_only
10.1002/pits.1004,Psychology in the Schools,idconv: no PMCID
10.1016/j.labeco.2009.01.001,Labour Economics,idconv: no PMCID
10.1037/ort0000713,American Journal of Orthopsychiatry,idconv: no PMCID
10.1016/j.ehb.2023.101347,Economics and Human Biology,idconv: no PMCID
10.1016/j.poetic.2023.101860,Poetics,idconv: no PMCID
10.1177/15412040231222435,Youth Violence and Juvenile Justice,idconv: no PMCID
10.1080/10911359.2023.2292233,Journal of Human Behavior in the Social Environment,idconv: no PMCID
10.1007/s13178-023-00924-x,Sexuality Research and Social Policy,idconv: no PMCID
10.1007/s12119-023-10190-z,Sexuality and Culture,idconv: no PMCID
10.30935/ojcmt/14026,Online Journal of Communication and Media Technologies,idconv: no PMCID
10.1353/jhr.2009.0026,Journal of Human Resources,idconv: no PMCID
10.1177/21533687231223720,Race and Justice,idconv: no PMCID
10.1016/j.jebo.2023.12.022,Journal of Economic Behavior and Organization,idconv: no PMCID
10.1136/jech.2008.078592,Journal of Epidemiology and Community Health,abstract_only
10.1007/s10802-021-00774-4,Research on Child and Adolescent Psychopathology,idconv: no PMCID
10.1177/0002716208331123,Annals of the American Academy of Political and Social Sciences,idconv: no PMCID
10.1080/02791072.2023.2297193,Journal of Psychoactive Drugs,abstract_only
10.1016/j.whi.2009.05.003,Women's Health Issues,abstract_only
10.1037/a0014982,Journal of Family Psychology,idconv: no PMCID
10.1016/j.jadohealth.2009.03.011,Journal of Adolescent Health,abstract_only
10.1016/j.jadohealth.2023.11.018,Journal of Adolescent Health,abstract_only
10.1002/hec.4792,Health Economics,idconv: no PMCID
10.1017/S1368980024000144,Public Health Nutrition,idconv: no PMCID
10.1016/j.acap.2009.02.004,Academic Pediatrics,idconv: no PMCID
10.1177/08901171241227298,American Journal of Health Promotion,idconv: no PMCID
10.1016/j.psyneuen.2023.106084,Psychoneuroendocrinology,abstract_only
10.1016/j.whi.2009.05.001,Women's Health Issues,abstract_only
10.1177/23780231231186072,Socius,idconv: no PMCID
10.1177/1541204008330409,Youth Violence and Juvenile Justice,idconv: no PMCID
10.1007/s40258-024-00872-6,Applied Health Economics and Health Policy,idconv: no PMCID
10.46469/mq.2023.64.2.8,Mankind Quarterly,idconv: no PMCID
10.1007/s11292-023-09608-3,Journal of Experimental Criminology,idconv: no PMCID
10.1111/jora.12913,Journal of Research on Adolescence,abstract_only
10.1111/sltb.13048,Suicide and Life-Threatening Behavior,abstract_only
10.1016/j.jcrimjus.2024.102153,Journal of Criminal Justice,idconv: no PMCID
10.1177/21568693231221513,Society and Mental Health,idconv: no PMCID
10.1016/j.psychres.2024.115770,Psychiatry Research,idconv: no PMCID
10.1016/S0049-089X(02)00010-8,Social Science Research,idconv: no PMCID
10.1016/j.alcohol.2009.02.001,Alcohol,idconv: no PMCID
10.1016/j.socscimed.2024.116633,Social Science and Medicine,abstract_only
10.1007/s12552-024-09411-3,Race and Social Problems,idconv: no PMCID
10.1177/00811750231220950,Sociological Methodology,idconv: no PMCID
10.1089/vio.2022.0065,Violence and Gender,idconv: no PMCID
10.1007/s11113-024-09857-8,Population Research and Policy Review,idconv: no PMCID
10.1111/jomf.12973,Journal of Marriage and Family,idconv: no PMCID
10.1080/15562948.2024.2315144,Journal of Immigrant and Refugee Studies,idconv: no PMCID
10.1080/13229400.2024.2315416,Journal of Family Studies,idconv: no PMCID
10.1177/003804070908200203,Sociology of Education,idconv: no PMCID
10.54289/JPPC2300101,Journal of Pediatrics and Primary Care,idconv: no PMCID
10.1177/00111287241231740,Crime and Delinquency,idconv: no PMCID
10.1016/j.psyneuen.2023.106805,Psychoneuroendocrinology,idconv: no PMCID
10.1177/0891243209339913,Gender and Society,abstract_only
10.1007/s10900-024-01332-x,Journal of Community Health,abstract_only
10.1007/s40865-024-00250-9,Journal of Developmental and Life-Course Criminology,idconv: no PMCID
10.1016/j.dsx.2024.102966,Diabetes and Metabolic Syndrome: Clinical Research and Reviews,idconv: no PMCID
10.1177/019027250907200105,Social Psychology Quarterly,abstract_only
10.1016/j.childyouth.2024.107517,Children and Youth Services Review,idconv: no PMCID
10.1016/j.socscimed.2024.116704,Social Science and Medicine,idconv: no PMCID
10.1111/j.1745-9125.2009.00170.x,Criminology,idconv: no PMCID
10.3998/ncidcurrents.1937,Currents: Journal of Diversity Scholarship for Social Change,abstract_only
10.1089/jwh.2023.0196,Journal of Women's Health,abstract_only
10.1017/S0954579424000543,Development and Psychopathology,idconv: no PMCID
10.1177/002214650905000302,Journal of Health and Social Behavior,idconv: no PMCID
10.1016/j.jpsychires.2024.03.005,Journal of Psychiatric Research,abstract_only
10.1111/imig.13254,International Migration,idconv: no PMCID
10.3102/10769986241233777,Journal of Educational and Behavioral Statistics,idconv: no PMCID
10.1016/j.jadohealth.2024.02.013,Journal of Adolescent Health,abstract_only
10.1111/j.1468-5906.2009.01451.x,Journal for the Scientific Study of Religion,idconv: no PMCID
10.1093/geronb/gbae040,The Journals of Gerontology: Series B,abstract_only
10.1093/gerona/glae084,The Journals of Gerontology: Series A,abstract_only
10.1016/j.alcr.2024.100608,Advances in Life Course Research,abstract_only
10.1080/19485565.2024.2334687,Biodemography and Social Biology,abstract_only
10.1111/j.1573-7861.2009.01124.x,Sociological Forum,idconv: no PMCID
10.1136/jech-2023-220701,Journal of Epidemiology and Community Health,idconv: no PMCID
10.1177/08862605211067062,J Interpers Violence,idconv: no PMCID
10.1177/00111287241245344,Crime and Delinquency,idconv: no PMCID
10.3138/cjccj-2023-0047,Canadian Journal of Criminology and Criminal Justice,idconv: no PMCID
10.1016/j.jadohealth.2009.07.005,Journal of Adolescent Health,abstract_only
10.3390/su151310460,Sustainability,idconv: no PMCID
10.1046/j.1365-2214.2002.t01-5-00293.x,"Child: Care, Health and Development",idconv: no PMCID
10.1363/4120009,Perspectives on Sexual and Reproductive Health,idconv: no PMCID
10.1016/j.jeconom.2023.02.010,Journal of Econometrics,idconv: no PMCID
10.1080/07418825.2023.2236674,Justice Quarterly,idconv: no PMCID
10.1002/smi.1277,Stress and Health,idconv: no PMCID
10.1016/j.jadohealth.2024.04.014,Journal of Adolescent Health,abstract_only
10.1016/j.annepidem.2024.05.007,Annals of Epidemiology,abstract_only
10.1016/j.socscimed.2023.116434,Social Science and Medicine,abstract_only
10.1037/adb0001015,Psychol Addict Behav,abstract_only
10.1177/0093854809342859,Criminal Justice and Behavior,idconv: no PMCID
10.1111/acer.15308,Alcohol Clin Exp Res (Hoboken),abstract_only
10.1080/19485565.2024.2355891,Biodemography Soc Biol,abstract_only
10.1016/j.regsciurbeco.2024.104025,Regional Science and Urban Economics,idconv: no PMCID
10.1215/00703370-11380743,Demography,idconv: no PMCID
10.1093/aje/kwae095,Am J Epidemiol,abstract_only
10.1093/geronb/gbae038,Journals of Gerontology - Series B Psychological Sciences and Social Sciences,abstract_only
10.1215/00703370-11380562,Demography,idconv: no PMCID
10.1353/dem.0.0072,Demography,abstract_only
10.1016/j.jad.2024.05.053,Journal of Affective Disorders,idconv: no PMCID
10.1161/JAHA.123.030403,Journal of the American Heart Association,idconv: no PMCID
10.1016/j.jad.2024.06.081,Journal of Affective Disorders,idconv: no PMCID
10.1002/jcop.23130,Journal of Community Psychology,idconv: no PMCID
10.1093/gerona/glae127,The Journals of Gerontology: Series A,idconv: no PMCID
10.1177/00111287241261326,Crime and Delinquency,idconv: no PMCID
10.1177/0739986309346023,Hispanic Journal of Behavioral Sciences,idconv: no PMCID
10.1016/j.amepre.2024.06.013,Am J Prev Med,abstract_only
10.1007/s12552-024-09418-w,Race and Social Problems,idconv: no PMCID
10.2139/ssrn.3397735,Available at SSRN 3397735,idconv: no PMCID
10.1016/j.ssmmh.2024.100329,SSM - Mental Health,abstract_only
10.1016/j.ssresearch.2024.103049,Social Science Research,idconv: no PMCID
10.1016/j.ssaho.2024.100977,Social Sciences and Humanities Open,idconv: no PMCID
10.1093/ntr/ntae146,Nicotine Tob Res,idconv: no PMCID
10.1111/j.1475-682X.2009.00300.x,Sociological Inquiry,idconv: no PMCID
10.1007/s11896-024-09693-8,Journal of Police and Criminal Psychology,idconv: no PMCID
10.1007/s11113-024-09906-2,Population Research and Policy Review,abstract_only
10.1002/jad.12387,Journal of Adolescence,idconv: no PMCID
10.1177/00221465241260103,Journal of Health and Social Behavior,abstract_only
10.1016/j.alcr.2024.100631,Advances in Life Course Research,idconv: no PMCID
10.1177/10659129241268825,Political Research Quarterly,idconv: no PMCID
10.1177/000312240907400502,American Sociological Review,abstract_only
10.1177/00111287241264229,Crime & Delinquency,idconv: no PMCID
10.1002/jad.12382,Journal of Adolescence,idconv: no PMCID
10.1177/01623532241258759,Journal for the Education of the Gifted,idconv: no PMCID
10.1016/j.sleepe.2024.100098,Sleep Epidemiology,abstract_only
10.1016/j.ypmed.2024.108129,Prev Med,idconv: no PMCID
10.1016/j.ssresearch.2024.103062,Soc Sci Res,idconv: no PMCID
10.1177/0192513X09332967,Journal of Family Issues,idconv: no PMCID
10.1093/ije/dyae121,Int J Epidemiol,abstract_only
10.1111/jomf.12994,J Marriage Fam,abstract_only
10.1093/aje/kwae314,Am J Epidemiol,abstract_only
10.3233/jad-240201,J Alzheimers Dis,idconv: no PMCID
10.1007/s12310-024-09705-2,School Mental Health,idconv: no PMCID
10.1080/10826084.2024.2392522,Substance Use and Misuse,idconv: no PMCID
10.1177/10775595241277122,Child Maltreatment,idconv: no PMCID
10.1332/17579597Y2024D000000030,Longitudinal and Life Course Studies,idconv: no PMCID
10.1093/ntr/ntp008,Nicotine and Tobacco Research,idconv: no PMCID
10.1093/aje/kwae327,Am J Epidemiol,abstract_only
10.1093/socpro/spae050,Social Problems,idconv: no PMCID
10.1111/socf.13013,Sociological Forum,abstract_only
10.1111/j.1532-7795.2009.00581.x,Journal of Research on Adolescence,idconv: no PMCID
10.1080/07347324.2024.2403352,Alcoholism Treatment Quarterly,idconv: no PMCID
10.1016/j.cities.2024.105428,Cities,idconv: no PMCID
10.1016/j.socscimed.2024.117328,Soc Sci Med,idconv: no PMCID
10.1016/j.puhe.2024.09.008,Public Health,idconv: no PMCID
10.1007/s40615-024-02135-5,J Racial Ethn Health Disparities,idconv: no PMCID
10.1080/03014460.2024.2390834,Ann Hum Biol,abstract_only
10.57239/PJLSS-2024-22.2.00191,Pakistan Journal of Life and Social Sciences,idconv: no PMCID
10.1002/ejsp.3110,European Journal of Social Psychology,idconv: no PMCID
10.1177/003804070908200403,Sociology of Education,abstract_only
10.1016/j.contraception.2024.110568,Contraception,idconv: no PMCID
10.1016/j.amepre.2024.10.002,American Journal of Preventive Medicine,idconv: no PMCID
10.1016/j.childyouth.2024.107958,Children and Youth Services Review,idconv: no PMCID
10.1002/jad.12410,Journal of Adolescence,idconv: no PMCID
10.1017/S1355617724000298,Journal of the International Neuropsychological Society,idconv: no PMCID
10.1007/s40615-024-02076-z,Journal of Racial and Ethnic Health Disparities,idconv: no PMCID
10.1891/vv-2023-0100,Violence Vict,idconv: no PMCID
10.1016/j.jpsychores.2024.111893,Journal of Psychosomatic Research,idconv: no PMCID
10.1016/j.jad.2024.09.170,J Affect Disord,idconv: no PMCID
10.1177/08862605241283854,J Interpers Violence,idconv: no PMCID
10.1177/00031224241292058,American Sociological Review,idconv: no PMCID
10.2105/ajph.2024.307839,American Journal of Public Health,idconv: no PMCID
10.1016/j.childyouth.2024.108011,Children and Youth Services Review,idconv: no PMCID
10.1016/j.chiabu.2024.107125,Child Abuse and Neglect,abstract_only
10.1080/07418820802427866,Justice Quarterly,abstract_only
10.1016/j.puhe.2024.10.005,Public Health,abstract_only
10.1007/s10896-024-00771-3,Journal of Family Violence,idconv: no PMCID
10.1097/HPC.0000000000000378,Critical Pathways in Cardiology,idconv: no PMCID
10.1097/FCH.0000000000000415,Family and Community Health,idconv: no PMCID
10.1177/23780231241272675,Socius,idconv: no PMCID
10.1002/oby.24148,Obesity (Silver Spring),abstract_only
10.1080/0735648X.2024.2422505,Journal of Crime and Justice,idconv: no PMCID
10.1007/s11113-024-09916-0,Population Research and Policy Review,idconv: no PMCID
10.1177/26338076241286904,Journal of Criminology,idconv: no PMCID
10.1007/s11414-024-09917-z,Journal of Behavioral Health Services and Research,idconv: no PMCID
10.1093/eurpub/ckae144.1459,European Journal of Public Health,abstract_only
10.1016/j.childyouth.2024.108072,Children and Youth Services Review,idconv: no PMCID
10.1007/s11113-024-09922-2,Population Research and Policy Review,idconv: no PMCID
10.1080/13811118.2024.2438213,Archives of Suicide Research,idconv: no PMCID
10.1177/21651434241302287,Career Development and Transition for Exceptional Individuals,idconv: no PMCID
10.1177/0044118X241296114,Youth & Society,idconv: no PMCID
10.1136/jech-2024-222378,J Epidemiol Community Health,idconv: no PMCID
10.1525/sp.2009.56.3.425,Social Problems,idconv: no PMCID
10.1016/j.socscimed.2024.117548,Social Science & Medicine,abstract_only
10.1177/00220426241304701,Journal of Drug Issues,idconv: no PMCID
10.1044/2024_AJSLP-24-00202,American Journal of Speech-Language Pathology,idconv: no PMCID
10.1177/00221465241291845,J Health Soc Behav,idconv: no PMCID
10.1111/joop.12558,Journal of Occupational and Organizational Psychology,idconv: no PMCID
10.1007/s11469-024-01410-0,International Journal of Mental Health and Addiction,idconv: no PMCID
10.1016/j.socscimed.2025.117700,Social Science & Medicine,idconv: no PMCID
10.1136/jech-2024-223202,Journal of Epidemiology and Community Health,idconv: no PMCID
10.4284/sej.2009.76.1.67,Southern Economic Journal,idconv: no PMCID
10.4081/monaldi.2025.3205,Monaldi Arch Chest Dis,idconv: no PMCID
10.1016/j.chiabu.2024.107242,Child Abuse Negl,idconv: no PMCID
10.1080/01639625.2024.2443080,Deviant Behavior,idconv: no PMCID
10.1007/s11113-024-09933-z,Population Research and Policy Review,idconv: no PMCID
10.1177/10870547241306570,Journal of Attention Disorders,idconv: no PMCID
10.1080/13811118.2024.2445244,Arch Suicide Res,idconv: no PMCID
10.1080/0735648X.2024.2444973,Journal of Crime and Justice,idconv: no PMCID
10.1002/adaw.20181,Alcoholism and Drug Abuse Weekly,idconv: no PMCID
10.2105/AJPH.2023.307370,American Journal of Public Health,idconv: no PMCID
10.1177/002214650905000205,Journal of Health and Social Behavior,idconv: no PMCID
10.1111/j.1530-0277.2008.00881.x,Alcoholism: Clinical and Experimental Research,abstract_only
10.1001/jamacardio.2023.2672,JAMA Cardiology,abstract_only
10.1097/DBP.0b013e3181b33659,Journal of Developmental and Behavioral Pediatrics,idconv: no PMCID
10.1007/s10964-022-01631-3,Journal of Youth and Adolescence,abstract_only
10.1016/j.jcrimjus.2025.102368,Journal of Criminal Justice,idconv: no PMCID
10.1016/j.socscimed.2025.117761,Social Science and Medicine,abstract_only
10.1017/s0954579424001962,Dev Psychopathol,idconv: no PMCID
10.1080/0735648X.2025.2458661,Journal of Crime and Justice,idconv: no PMCID
10.1093/socpro/spaf004,Social Problems,idconv: no PMCID
10.1016/j.socscimed.2025.117702,Soc Sci Med,idconv: no PMCID
10.1016/j.ijcard.2025.132994,Int J Cardiol,idconv: no PMCID
10.1016/j.jadohealth.2024.12.011,J Adolesc Health,idconv: no PMCID
10.1016/j.cities.2025.105734,Cities,idconv: no PMCID
10.1111/j.1744-6155.2009.00183.x,Journal for Specialists in Pediatric Nursing,idconv: no PMCID
10.1037/dev0001888,Developmental Psychology,idconv: no PMCID
10.1007/s11113-025-09940-8,Population Research and Policy Review,idconv: no PMCID
10.1007/s40865-025-00264-x,Journal of Developmental and Life-Course Criminology,idconv: no PMCID
10.1111/cfs.13272,Child & Family Social Work,idconv: no PMCID
10.1016/j.jadohealth.2024.12.010,Journal of Adolescent Health,idconv: no PMCID
10.1097/DBP.0b013e31819cf544,Journal of Developmental and Behavioral Pediatrics,idconv: no PMCID
10.1016/j.jcrimjus.2025.102381,Journal of Criminal Justice,idconv: no PMCID
10.1007/s40750-025-00258-5,Adaptive Human Behavior and Physiology,idconv: no PMCID
10.1177/08862605251321008,J Interpers Violence,idconv: no PMCID
10.1097/hpc.0000000000000386,Crit Pathw Cardiol,idconv: no PMCID
10.1093/socrel/srp010,Sociology of Religion,idconv: no PMCID
10.1363/4103309,Perspectives on Sexual and Reproductive Health,idconv: no PMCID
10.1007/s10519-009-9261-4,Behavior Genetics,abstract_only
10.1111/j.1741-3737.2009.00606.x,Journal of Marriage and Family,idconv: no PMCID
10.1007/s11293-009-9181-y,Atlantic Economic Journal,idconv: no PMCID
10.1111/j.1468-5906.2009.01481.x,Journal for the Scientific Study of Religion,abstract_only
10.1023/A:1015493316865,Journal of Youth and Adolescence,idconv: no PMCID
10.1111/j.1467-937X.2009.00550.x,Review of Economic Studies,idconv: no PMCID
10.1353/sof.0.0238,Social Forces,abstract_only
10.1001/archpediatrics.2009.95,Archives of Pediatrics and Adolescent Medicine,abstract_only
10.1080/10678280902724002,Journal of Child and Adolescent Substance Abuse,idconv: no PMCID
10.1542/peds.2008-3425,Pediatrics,idconv: no PMCID
10.3982/ECTA7528,Econometrica,idconv: no PMCID
10.3945/ajcn.2007.25751,American Journal of Clinical Nutrition,abstract_only
10.1353/sof.0.0189,Social Forces,idconv: no PMCID
10.1111/j.1741-3737.2009.00646.x,Journal of Marriage and Family,abstract_only
10.1177/0192513X09334906,Journal of Family Issues,idconv: no PMCID
10.1111/j.1746-1561.2002.tb06533.x,Journal of School Health,idconv: no PMCID
10.1176/appi.ps.60.4.465,Psychiatric Services,idconv: no PMCID
10.1007/s11113-008-9115-4,Population Research and Policy Review,abstract_only
10.1111/j.1741-3737.2009.00645.x,Journal of Marriage and Family,abstract_only
10.1177/0093854809342884,Criminal Justice and Behavior,idconv: no PMCID
10.1353/sof.0.0281,Social Forces,abstract_only
10.1542/peds.2008-0407,Pediatrics,abstract_only
10.1017/S0954579409000510,Development and Psychopathology,idconv: no PMCID
10.1111/j.1530-0277.2008.00810.x,Alcoholism: Clinical and Experimental Research,abstract_only
10.1353/dem.0.0043,Demography,abstract_only
10.1080/19485560903054762,Biodemography and Social Biology,idconv: no PMCID
10.1080/02732170802584393,Sociological Spectrum,idconv: no PMCID
10.1111/j.1475-6811.2009.01245.x,Personal Relationships,idconv: no PMCID
10.1111/j.1741-3737.2009.00624.x,Journal of Marriage and Family,abstract_only
10.1177/019027250907200205,Social Psychology Quarterly,abstract_only
10.1136/jech.2008.075721,Journal of Epidemiology and Community Health,abstract_only
10.1111/j.1540-6237.2009.00634.x,Social Science Quarterly,abstract_only
